# GENERATED by `python3 scripts/methods_catalogue.py` — base ddc2511d · digest 7459fcd147e4efa5. record=hyp: status/hang/producers (!g = GUARDED); record=result: methods. Family codes: F01=circle method / Fourier · F02=entropy decrement · F03=large sieve · F04=Selberg/Brun sieve · F05=Bombieri-Vinogradov / Siegel-Walfisz · F06=zero-density / zero-free regions · F07=character sums / L-functions · F08=exponential sums · F09=Mertens / PNT-type · F10=certificates / explicit numerics · F11=explog/lognum numeral tactic · F12=Matomaki-Radziwill / Halasz (short intervals)
record	name	status_or_kind	file:line	hang_or_indeg	producers_or_refcount	own	direct_families	transitive_families	refs
hyp	BoundedGapsFromEH	DISCHARGED	Salt/Maynard.lean:134	0	Salt.Maynard.bounded_gaps_from_eh_complete,Salt.Maynard.bounded_gaps_from_eh'				
hyp	BrunStatement	DISCHARGED	Salt/Brun.lean:30	0	Salt.N6.N6_2				
hyp	CoeffAt	DISCHARGED	Salt/Maynard/GehDoor.lean:81	2	GehAnchor.anchorCoeff!g,coeffAt_muBlock				
hyp	EH	OPEN	Salt/Maynard.lean:113	0					
hyp	EHall	OPEN	Salt/Twelve/Params.lean:33	3					
hyp	FiniteRange	DISCHARGED	Salt/Entropy/FiniteRange.lean:24	7	Salt.Entropy.Chowla.instFiniteRangeShift,Salt.Entropy.Chowla.instFiniteRangeJointWindow,instFiniteRangeLiouvilleWindow,finiteRange_of_finset!g				
hyp	GEH_min	OPEN	Salt/Maynard/GehDoor.lean:160	2					
hyp	HasLevel	OPEN	Salt/Maynard/Level.lean:28	0					
hyp	LambdaLevel	OPEN	Salt/Maynard/GehVaughan.lean:60	0					
hyp	LambdaLevelU	OPEN	Salt/Maynard/GehVaughan.lean:404	0					
hyp	PiLevel	OPEN	Salt/Maynard/GehPiSeam.lean:58	0					
hyp	PieceObligation	OPEN	Salt/Maynard/GehVaughan.lean:275	0					
hyp	PieceObligationU	DISCHARGED	Salt/Maynard/GehVaughan.lean:419	1	tail_obligation_vP1,head_obligation				
hyp	PpLevel	DISCHARGED	Salt/Maynard/GehBridge.lean:200	0	Salt.Maynard.ppLevel_holds				
hyp	ProbabilityTheory.FiniteEntropy	OPEN	Salt/Entropy/Measure.lean:134	0					
hyp	ProbabilityTheory.FiniteSupport	DISCHARGED	Salt/Entropy/Measure.lean:88	5	Salt.Entropy.Chowla.instFiniteSupport,Salt.Entropy.Chowla.finiteSupport_logMeasureAff,ProbabilityTheory.finiteSupport_zero,ProbabilityTheory.finiteSupport_of_fintype,ProbabilityTheory.finiteSupport_of_dirac				
hyp	ProbabilityTheory.Kernel.AEFiniteKernelSupport	DISCHARGED	Salt/Entropy/Mathlib/KernelDisintegration.lean:595	3	ProbabilityTheory.Kernel.aefiniteKernelSupport_zero				
hyp	ProbabilityTheory.Kernel.FiniteKernelSupport	DISCHARGED	Salt/Entropy/Mathlib/KernelDisintegration.lean:590	0	ProbabilityTheory.Kernel.finiteKernelSupport_zero,ProbabilityTheory.Kernel.finiteKernelSupport_of_finite_range,ProbabilityTheory.Kernel.FiniteKernelSupport.deterministic				
